Metric_Category,Item_Name,Base_Model_Score,Debiased_Model_Score,Change
DirectBias,accountant,0.0516,0.0999,0.0483
DirectBias,architect,0.1226,0.0991,-0.0235
DirectBias,artist,-0.1396,-0.1262,0.0134
DirectBias,astronomer,0.0694,0.0737,0.0043
DirectBias,attorney,0.0418,0.0681,0.0263
DirectBias,author,0.0141,0.0370,0.0229
DirectBias,baker,0.0354,0.0474,0.0120
DirectBias,barber,-0.0087,0.0371,0.0458
DirectBias,biologist,-0.0266,0.0049,0.0314
DirectBias,butcher,-0.0035,0.0273,0.0309
DirectBias,captain,0.1012,0.0990,-0.0022
DirectBias,carpenter,0.0619,0.0238,-0.0381
DirectBias,chemist,-0.0127,0.0298,0.0425
DirectBias,chief,0.1720,0.1661,-0.0059
DirectBias,clerk,0.0854,0.0928,0.0074
DirectBias,cook,-0.0554,-0.0124,0.0430
DirectBias,dancer,-0.1603,-0.1474,0.0129
DirectBias,dentist,-0.0535,0.0182,0.0717
DirectBias,designer,-0.0780,-0.0686,0.0094
DirectBias,detective,-0.0988,-0.0617,0.0371
DirectBias,developer,0.0922,0.0501,-0.0420
DirectBias,doctor,-0.0304,0.0172,0.0476
DirectBias,driver,-0.0197,-0.0382,-0.0185
DirectBias,economist,0.0627,0.0946,0.0319
DirectBias,electrician,0.0268,0.0114,-0.0155
DirectBias,engineer,0.0676,0.0555,-0.0121
DirectBias,executive,0.0618,0.0719,0.0101
DirectBias,firefighter,-0.0323,0.0463,0.0786
DirectBias,guard,0.0424,0.0598,0.0174
DirectBias,hairdresser,-0.1036,-0.1305,-0.0268
DirectBias,janitor,0.0802,0.0027,-0.0775
DirectBias,journalist,0.0113,0.0154,0.0040
DirectBias,judge,0.0325,0.0520,0.0195
DirectBias,lawyer,0.0240,0.0704,0.0464
DirectBias,librarian,-0.0399,0.0277,0.0675
DirectBias,manager,0.1999,0.1727,-0.0272
DirectBias,mathematician,0.0821,0.0853,0.0032
DirectBias,mechanic,-0.0013,0.0341,0.0355
DirectBias,nurse,-0.1518,-0.0341,0.1177
DirectBias,officer,0.0502,0.0723,0.0221
DirectBias,painter,0.0014,0.0043,0.0030
DirectBias,paramedic,0.0410,0.0369,-0.0041
DirectBias,pharmacist,-0.0494,-0.0647,-0.0153
DirectBias,physicist,0.0185,0.0812,0.0627
DirectBias,pilot,-0.0935,-0.0228,0.0707
DirectBias,plumber,-0.0716,-0.0816,-0.0099
DirectBias,poet,0.0234,0.0292,0.0058
DirectBias,police,-0.0113,0.0346,0.0459
DirectBias,programmer,0.0529,0.0257,-0.0272
DirectBias,psychiatrist,-0.0406,0.0428,0.0834
DirectBias,psychologist,-0.0931,0.0234,0.1166
DirectBias,receptionist,-0.0952,-0.1355,-0.0404
DirectBias,scientist,0.0042,0.0455,0.0412
DirectBias,secretary,0.1180,0.1556,0.0377
DirectBias,singer,-0.1685,-0.1371,0.0314
DirectBias,soldier,0.0647,0.0823,0.0177
DirectBias,surgeon,0.0010,0.0316,0.0306
DirectBias,therapist,-0.1633,-0.1060,0.0573
DirectBias,veterinarian,0.0076,-0.0329,-0.0405
DirectBias,writer,-0.0086,-0.0132,-0.0046
Utility,Semantic_Correlation,0.6077,0.5356,-0.0721
WEAT,Career_vs_Family,1.5314,1.2564,-0.2750
